"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"19001","242 DAVENPORT AV, New Haven, CT, ","Match","Exact","242 Davenport Ave, NEW HAVEN, CT, 06519","-72.94189,41.301228",3700469,"L",9,9,140600,5001
"19002","236 DAVENPORT AV, New Haven, CT, ","Match","Exact","236 Davenport Ave, NEW HAVEN, CT, 06519","-72.94175,41.301304",3700469,"L",9,9,140600,5001
"19003","48 KOSSUTH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19004","44 KOSSUTH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19005","36 KOSSUTH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19006","11 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19007","17 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19008","21 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19009","23 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19010","25 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19011","29 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19012","27 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19013","31 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19014","35 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19015","ANN ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19016","37 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19017","39 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19018","ANN ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19019","41 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19020","43 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19021","51 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19022","53 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19023","57 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19024","63 ANN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"19025","215 WEST ST, New Haven, CT, ","Match","Exact","215 West St, NEW HAVEN, CT, 06519","-72.94312,41.29975",3700458,"R",9,9,140600,5001
"19026","WEST ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19027","219 WEST ST, New Haven, CT, ","Match","Exact","219 West St, NEW HAVEN, CT, 06519","-72.943146,41.299774",3700458,"R",9,9,140600,5001
"19028","224 DAVENPORT AV, New Haven, CT, ","Match","Exact","224 Davenport Ave, NEW HAVEN, CT, 06519","-72.94143,41.30145",3700471,"L",9,9,140600,5000
"19029","220 DAVENPORT AV, New Haven, CT, ","Match","Exact","220 Davenport Ave, NEW HAVEN, CT, 06519","-72.9413,41.3015",3700471,"L",9,9,140600,5000
"19030","218 DAVENPORT AV, New Haven, CT, ","Match","Exact","218 Davenport Ave, NEW HAVEN, CT, 06519","-72.94124,41.301525",3700471,"L",9,9,140600,5000
"19031","216 DAVENPORT AV, New Haven, CT, ","Match","Exact","216 Davenport Ave, NEW HAVEN, CT, 06519","-72.94118,41.301544",3700472,"L",9,9,140600,5000
"19032","206 DAVENPORT AV, New Haven, CT, ","Match","Exact","206 Davenport Ave, NEW HAVEN, CT, 06519","-72.94046,41.301796",3700472,"L",9,9,140600,5000
"19033","202 DAVENPORT AV, New Haven, CT, ","Match","Exact","202 Davenport Ave, NEW HAVEN, CT, 06519","-72.94034,41.30184",3700474,"L",9,9,140600,2003
"19034","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19035","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19036","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"19037","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
