"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"9001","283 VIEW ST, New Haven, CT, ","Match","Exact","283 View St, NEW HAVEN, CT, 06511","-72.9015,41.321102",3702944,"R",9,9,142400,1006
"9002","287 VIEW ST, New Haven, CT, ","Match","Exact","287 View St, NEW HAVEN, CT, 06511","-72.901474,41.321148",3702944,"R",9,9,142400,1006
"9003","291 VIEW ST, New Haven, CT, ","Match","Exact","291 View St, NEW HAVEN, CT, 06511","-72.90144,41.321194",3702944,"R",9,9,142400,1006
"9004","295 VIEW ST, New Haven, CT, ","Match","Exact","295 View St, NEW HAVEN, CT, 06511","-72.90142,41.321236",3702944,"R",9,9,142400,1006
"9005","307 VIEW ST, New Haven, CT, ","Match","Exact","307 View St, NEW HAVEN, CT, 06511","-72.901344,41.321373",3702944,"R",9,9,142400,1006
"9006","98 ROCK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"9007","76 RIDGE ST, New Haven, CT, ","Match","Exact","76 Ridge St, NEW HAVEN, CT, 06511","-72.90047,41.32121",3702951,"L",9,9,142400,1006
"9008","70 RIDGE ST, New Haven, CT, ","Match","Exact","70 Ridge St, NEW HAVEN, CT, 06511","-72.90054,41.321095",3702951,"L",9,9,142400,1006
"9009","66 RIDGE ST, New Haven, CT, ","Match","Exact","66 Ridge St, NEW HAVEN, CT, 06511","-72.9006,41.321014",3702951,"L",9,9,142400,1006
"9010","62 RIDGE ST, New Haven, CT, ","Match","Exact","62 Ridge St, NEW HAVEN, CT, 06511","-72.90065,41.32094",3702951,"L",9,9,142400,1006
"9011","58 RIDGE ST, New Haven, CT, ","Match","Exact","58 Ridge St, NEW HAVEN, CT, 06511","-72.9007,41.32086",3702951,"L",9,9,142400,1006
"9012","38 RIDGE ST, New Haven, CT, ","Match","Exact","38 Ridge St, NEW HAVEN, CT, 06511","-72.90097,41.32048",3702951,"L",9,9,142400,1006
"9013","50 RIDGE ST, New Haven, CT, ","Match","Exact","50 Ridge St, NEW HAVEN, CT, 06511","-72.90081,41.32071",3702951,"L",9,9,142400,1006
"9014","46 RIDGE ST, New Haven, CT, ","Match","Exact","46 Ridge St, NEW HAVEN, CT, 06511","-72.90086,41.320633",3702951,"L",9,9,142400,1006
"9015","44 RIDGE ST, New Haven, CT, ","Match","Exact","44 Ridge St, NEW HAVEN, CT, 06511","-72.90089,41.320595",3702951,"L",9,9,142400,1006
"9016","40 RIDGE ST, New Haven, CT, ","Match","Exact","40 Ridge St, NEW HAVEN, CT, 06511","-72.90094,41.32052",3702951,"L",9,9,142400,1006
"9017","3 RIDGE ST, New Haven, CT, ","Match","Exact","3 Ridge St, NEW HAVEN, CT, 06511","-72.90142,41.31983",3702951,"R",9,9,142400,1008
"9018","7 RIDGE ST, New Haven, CT, ","Match","Exact","7 Ridge St, NEW HAVEN, CT, 06511","-72.90136,41.319904",3702951,"R",9,9,142400,1008
"9019","15 RIDGE ST, New Haven, CT, ","Match","Exact","15 Ridge St, NEW HAVEN, CT, 06511","-72.901245,41.32005",3702951,"R",9,9,142400,1008
"9020","17 RIDGE ST, New Haven, CT, ","Match","Exact","17 Ridge St, NEW HAVEN, CT, 06511","-72.90122,41.320084",3702951,"R",9,9,142400,1008
"9021","21 RIDGE ST, New Haven, CT, ","Match","Exact","21 Ridge St, NEW HAVEN, CT, 06511","-72.90116,41.320156",3702951,"R",9,9,142400,1008
"9022","27 RIDGE ST, New Haven, CT, ","Match","Exact","27 Ridge St, NEW HAVEN, CT, 06511","-72.90108,41.320267",3702951,"R",9,9,142400,1008
"9023","31 RIDGE ST, New Haven, CT, ","Match","Exact","31 Ridge St, NEW HAVEN, CT, 06511","-72.901024,41.320343",3702951,"R",9,9,142400,1008
"9024","41 RIDGE ST, New Haven, CT, ","Match","Exact","41 Ridge St, NEW HAVEN, CT, 06511","-72.900894,41.32053",3702951,"R",9,9,142400,1008
"9025","51 RIDGE ST, New Haven, CT, ","Match","Exact","51 Ridge St, NEW HAVEN, CT, 06511","-72.900764,41.320717",3702951,"R",9,9,142400,1008
"9026","61 RIDGE ST, New Haven, CT, ","Match","Exact","61 Ridge St, NEW HAVEN, CT, 06511","-72.900635,41.320904",3702951,"R",9,9,142400,1008
"9027","76 ROCK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"9028","72 ROCK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"9029","68 ROCK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"9030","64 GRACE ST, New Haven, CT, ","Match","Exact","64 Grace St, NEW HAVEN, CT, 06511","-72.89935,41.321114",3702953,"L",9,9,142400,1008
"9031","178 CEDAR HILL AV, New Haven, CT, ","Match","Exact","178 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89951,41.32062",3702957,"L",9,9,142400,1008
"9032","174 CEDAR HILL AV, New Haven, CT, ","Match","Exact","174 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89957,41.32056",3702957,"L",9,9,142400,1008
"9033","172 CEDAR HILL AV, New Haven, CT, ","Match","Exact","172 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.8996,41.32053",3702957,"L",9,9,142400,1008
"9034","168 CEDAR HILL AV, New Haven, CT, ","Match","Exact","168 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89965,41.32047",3702957,"L",9,9,142400,1008
"9035","164 CEDAR HILL AV, New Haven, CT, ","Match","Exact","164 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89971,41.320408",3702957,"L",9,9,142400,1008
"9036","160 CEDAR HILL AV, New Haven, CT, ","Match","Exact","160 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.899765,41.320347",3702957,"L",9,9,142400,1008
"9037","158 CEDAR HILL AV, New Haven, CT, ","Match","Exact","158 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.899796,41.320316",3702957,"L",9,9,142400,1008
"9038","156 CEDAR HILL AV, New Haven, CT, ","Match","Exact","156 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.899826,41.320286",3702957,"L",9,9,142400,1008
"9039","154 CEDAR HILL AV, New Haven, CT, ","Match","Exact","154 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89986,41.320255",3702957,"L",9,9,142400,1008
"9040","150 CEDAR HILL AV, New Haven, CT, ","Match","Exact","150 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.89991,41.320194",3702957,"L",9,9,142400,1008
"9041","142 CEDAR HILL AV, New Haven, CT, ","Match","Exact","142 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.900024,41.320072",3702957,"L",9,9,142400,1008
"9042","138 CEDAR HILL AV, New Haven, CT, ","Match","Exact","138 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90013,41.319958",3702955,"L",9,9,142400,1008
"9043","136 CEDAR HILL AV, New Haven, CT, ","Match","Exact","136 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90016,41.319927",3702955,"L",9,9,142400,1008
"9044","134 CEDAR HILL AV, New Haven, CT, ","Match","Exact","134 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90019,41.319893",3702955,"L",9,9,142400,1008
"9045","130 CEDAR HILL AV, New Haven, CT, ","Match","Exact","130 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90025,41.31983",3702955,"L",9,9,142400,1008
"9046","126 CEDAR HILL AV, New Haven, CT, ","Match","Exact","126 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.900314,41.31977",3702955,"L",9,9,142400,1008
"9047","118 CEDAR HILL AV, New Haven, CT, ","Match","Exact","118 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90044,41.319645",3702955,"L",9,9,142400,1008
"9048","116 CEDAR HILL AV, New Haven, CT, ","Match","Exact","116 Cedar Hill Ave, NEW HAVEN, CT, 06511","-72.90047,41.319614",3702955,"L",9,9,142400,1008
