"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","51 SOUTH END RD, New Haven, CT, ","Match","Exact","51 S End Rd, NEW HAVEN, CT, 06512","-72.889084,41.247948",3716580,"R",9,9,180100,5013
"2","75 SOUTH END RD, New Haven, CT, ","Match","Exact","75 S End Rd, NEW HAVEN, CT, 06512","-72.88929,41.247894",3716580,"R",9,9,180100,5013
"3","199 SOUTH END RD, New Haven, CT, ","Match","Exact","199 S End Rd, NEW HAVEN, CT, 06512","-72.89142,41.25493",3706077,"R",9,9,142800,4000
"4","11 URIAH ST, New Haven, CT, ","Match","Exact","11 Uriah St, NEW HAVEN, CT, 06512","-72.89085,41.255",3756993,"R",9,9,142800,4000
"5","181 SOUTH END RD, New Haven, CT, ","Match","Exact","181 S End Rd, NEW HAVEN, CT, 06512","-72.89097,41.25344",3706077,"R",9,9,142800,4000
"6","169 SOUTH END RD, New Haven, CT, ","Match","Exact","169 S End Rd, NEW HAVEN, CT, 06512","-72.89132,41.25455",3706077,"R",9,9,142800,4000
"7","173 SOUTH END RD, New Haven, CT, ","Match","Exact","173 S End Rd, NEW HAVEN, CT, 06512","-72.89142,41.25493",3706077,"R",9,9,142800,4000
"8","165 SOUTH END RD, New Haven, CT, ","Match","Exact","165 S End Rd, NEW HAVEN, CT, 06512","-72.89123,41.254173",3706077,"R",9,9,142800,4000
"9","161 SOUTH END RD, New Haven, CT, ","Match","Exact","161 S End Rd, NEW HAVEN, CT, 06512","-72.89115,41.253796",3706077,"R",9,9,142800,4000
"10","157 SOUTH END RD, New Haven, CT, ","Match","Exact","157 S End Rd, NEW HAVEN, CT, 06512","-72.89097,41.25344",3706077,"R",9,9,142800,4000
"11","153 SOUTH END RD, New Haven, CT, ","Match","Exact","153 S End Rd, NEW HAVEN, CT, 06512","-72.891754,41.247265",3716573,"R",9,9,180100,5011
"12","SOUTH END RD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"13","107 SOUTH END RD, New Haven, CT, ","Match","Exact","107 S End Rd, NEW HAVEN, CT, 06512","-72.88993,41.247738",3716576,"R",9,9,180100,5012
"14","101 SOUTH END RD, New Haven, CT, ","Match","Exact","101 S End Rd, NEW HAVEN, CT, 06512","-72.889786,41.247772",3716576,"R",9,9,180100,5012
"15","95 SOUTH END RD, New Haven, CT, ","Match","Exact","95 S End Rd, NEW HAVEN, CT, 06512","-72.88964,41.247807",3716576,"R",9,9,180100,5012
"16","SOUTH END RD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"17","91 SOUTH END RD, New Haven, CT, ","Match","Exact","91 S End Rd, NEW HAVEN, CT, 06512","-72.88955,41.24783",3716576,"R",9,9,180100,5012
"18","103 SOUTH END RD, New Haven, CT, ","Match","Exact","103 S End Rd, NEW HAVEN, CT, 06512","-72.88983,41.24776",3716576,"R",9,9,180100,5012
"19","SOUTH END RD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"20","URIAH ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"21","SOUTH END RD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"22","SOUTH END RD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"23","5 DOUGLASS AV, New Haven, CT, ","Match","Exact","5 Douglass Ave, NEW HAVEN, CT, 06512","-72.89131,41.25575",3706078,"R",9,9,142800,3000
"24","11 DOUGLASS AV, New Haven, CT, ","Match","Exact","11 Douglass Ave, NEW HAVEN, CT, 06512","-72.89122,41.25574",3706078,"R",9,9,142800,3000
"25","17 DOUGLASS AV, New Haven, CT, ","Match","Exact","17 Douglass Ave, NEW HAVEN, CT, 06512","-72.89113,41.25574",3706078,"R",9,9,142800,3000
"26","23 DOUGLASS AV, New Haven, CT, ","Match","Exact","23 Douglass Ave, NEW HAVEN, CT, 06512","-72.89103,41.25574",3706078,"R",9,9,142800,3000
"27","29 DOUGLASS AV, New Haven, CT, ","Match","Exact","29 Douglass Ave, NEW HAVEN, CT, 06512","-72.89094,41.25574",3706078,"R",9,9,142800,3000
"28","32 URIAH ST, New Haven, CT, ","Match","Exact","32 Uriah St, NEW HAVEN, CT, 06512","-72.887314,41.255104",3756993,"L",9,9,142800,3000
"29","24 URIAH ST, New Haven, CT, ","Match","Exact","24 Uriah St, NEW HAVEN, CT, 06512","-72.88835,41.255047",3756993,"L",9,9,142800,3000
"30","20 URIAH ST, New Haven, CT, ","Match","Exact","20 Uriah St, NEW HAVEN, CT, 06512","-72.88888,41.255043",3756993,"L",9,9,142800,3000
"31","1 TOWNSEND AV, New Haven, CT, ","Match","Exact","1 Townsend Ave, NEW HAVEN, CT, 06512","-72.89145,41.25505",3706076,"R",9,9,142800,3000
"32","1 TOWNSEND AV #A, New Haven, CT, ","Match","Exact","1 Townsend Ave, NEW HAVEN, CT, 06512","-72.89145,41.25505",3706076,"R",9,9,142800,3000
"33","1 TOWNSEND AV #B, New Haven, CT, ","Match","Exact","1 Townsend Ave, NEW HAVEN, CT, 06512","-72.89145,41.25505",3706076,"R",9,9,142800,3000
"34","9 TOWNSEND AV, New Haven, CT, ","Match","Exact","9 Townsend Ave, NEW HAVEN, CT, 06512","-72.89093,41.256496",3706075,"R",9,9,142800,3000
"35","17 JOHNSTON ST, New Haven, CT, ","Match","Exact","17 Johnston St, NEW HAVEN, CT, 06512","-72.89071,41.25653",3706080,"R",9,9,142800,3000
"36","30 DOUGLASS AV, New Haven, CT, ","Match","Exact","30 Douglass Ave, NEW HAVEN, CT, 06512","-72.89098,41.255768",3706078,"L",9,9,142800,3000
"37","24 DOUGLASS AV, New Haven, CT, ","Match","Exact","24 Douglass Ave, NEW HAVEN, CT, 06512","-72.89108,41.255768",3706078,"L",9,9,142800,3000
"38","20 DOUGLASS AV, New Haven, CT, ","Match","Exact","20 Douglass Ave, NEW HAVEN, CT, 06512","-72.89114,41.255768",3706078,"L",9,9,142800,3000
"39","3 TOWNSEND AV, New Haven, CT, ","Match","Exact","3 Townsend Ave, NEW HAVEN, CT, 06512","-72.89139,41.255733",3706076,"R",9,9,142800,3000
"40","3A TOWNSEND AV, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"41","5 TOWNSEND AV, New Haven, CT, ","Match","Exact","5 Townsend Ave, NEW HAVEN, CT, 06512","-72.89135,41.255806",3706075,"R",9,9,142800,3000
"42","7 TOWNSEND AV, New Haven, CT, ","Match","Exact","7 Townsend Ave, NEW HAVEN, CT, 06512","-72.891136,41.25615",3706075,"R",9,9,142800,3000
"43","MORRIS CSWY, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"44","URIAH ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"45","MORRIS CSWY, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"46","25 TOWNSEND AV, New Haven, CT, ","Match","Exact","25 Townsend Ave, NEW HAVEN, CT, 06512","-72.89134,41.257767",3706074,"R",9,9,142800,3000
"47","19 MORRIS CSWY, New Haven, CT, ","Match","Exact","19 Morris Cswy, NEW HAVEN, CT, 06512","-72.890945,41.258183",3706072,"R",9,9,142800,3000
"48","25 MORRIS CSWY, New Haven, CT, ","Match","Exact","25 Morris Cswy, NEW HAVEN, CT, 06512","-72.89087,41.25823",3706072,"R",9,9,142800,3000
"49","31 MORRIS CSWY, New Haven, CT, ","Match","Exact","31 Morris Cswy, NEW HAVEN, CT, 06512","-72.8908,41.25827",3706072,"R",9,9,142800,3000
"50","39 MORRIS CSWY, New Haven, CT, ","Match","Exact","39 Morris Cswy, NEW HAVEN, CT, 06512","-72.8907,41.258327",3706072,"R",9,9,142800,3000
"51","43 MORRIS CSWY, New Haven, CT, ","Match","Exact","43 Morris Cswy, NEW HAVEN, CT, 06512","-72.890656,41.258354",3706072,"R",9,9,142800,3000
"52","49 MORRIS CSWY, New Haven, CT, ","Match","Exact","49 Morris Cswy, NEW HAVEN, CT, 06512","-72.89058,41.258396",3706072,"R",9,9,142800,3000
"53","11 TOWNSEND AV, New Haven, CT, ","Match","Exact","11 Townsend Ave, NEW HAVEN, CT, 06512","-72.89086,41.256596",3706074,"R",9,9,142800,3000
"54","13 TOWNSEND AV, New Haven, CT, ","Match","Exact","13 Townsend Ave, NEW HAVEN, CT, 06512","-72.890785,41.25677",3706074,"R",9,9,142800,3000
"55","15 TOWNSEND AV, New Haven, CT, ","Match","Exact","15 Townsend Ave, NEW HAVEN, CT, 06512","-72.89078,41.256958",3706074,"R",9,9,142800,3000
