"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"2001","24 WOODWARD AV #31, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2002","24 WOODWARD AV #32, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2003","24 WOODWARD AV #33, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2004","24 WOODWARD AV #34, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2005","24 WOODWARD AV #35, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2006","24 WOODWARD AV #36, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2007","24 WOODWARD AV #37, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2008","24 WOODWARD AV #38, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2009","24 WOODWARD AV #39, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2010","24 WOODWARD AV #40, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2011","24 WOODWARD AV #41, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2012","24 WOODWARD AV #42, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2013","24 WOODWARD AV #43, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2014","24 WOODWARD AV #44, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2015","24 WOODWARD AV #45, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2016","24 WOODWARD AV #46, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2017","24 WOODWARD AV #47, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2018","24 WOODWARD AV #48, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2019","24 WOODWARD AV #49, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2020","24 WOODWARD AV #50, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2021","24 WOODWARD AV #51, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2022","24 WOODWARD AV #52, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2023","24 WOODWARD AV #53, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2024","24 WOODWARD AV #54, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2025","24 WOODWARD AV #55, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2026","24 WOODWARD AV #56, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2027","24 WOODWARD AV #57, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2028","24 WOODWARD AV #58, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
"2029","24 WOODWARD AV #59, New Haven, CT, ","Match","Exact","24 Woodward Ave, NEW HAVEN, CT, 06512","-72.90084,41.270355",604757520,"L",9,9,142800,2014
