"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"27001","2 COLBY CT, New Haven, CT, ","Match","Exact","2 Colby Ct, NEW HAVEN, CT, 06515","-72.97781,41.327644",3697205,"L",9,9,141100,2001
"27002","1 COLBY #CT, New Haven, CT, ","Match","Non_Exact","1 Colby Ct, NEW HAVEN, CT, 06515","-72.97778,41.327633",3697205,"R",9,9,141100,2001
"27003","15 COLBY #CT, New Haven, CT, ","Match","Non_Exact","15 Colby Ct, NEW HAVEN, CT, 06515","-72.97771,41.327736",3697205,"R",9,9,141100,2001
"27004","21 COLBY #CT, New Haven, CT, ","Match","Non_Exact","21 Colby Ct, NEW HAVEN, CT, 06515","-72.97768,41.32778",3697205,"R",9,9,141100,2001
"27005","30 JUDWIN AV, New Haven, CT, ","Match","Exact","30 Judwin Ave, NEW HAVEN, CT, 06515","-72.978516,41.32642",3697193,"L",9,9,141100,2001
"27006","24 JUDWIN AV, New Haven, CT, ","Match","Exact","24 Judwin Ave, NEW HAVEN, CT, 06515","-72.97863,41.32661",3697193,"L",9,9,141100,2001
"27007","20 JUDWIN AV, New Haven, CT, ","Match","Exact","20 Judwin Ave, NEW HAVEN, CT, 06515","-72.97872,41.326736",3697193,"L",9,9,141100,2001
"27008","JUDWIN AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"27009","14 JUDWIN AV, New Haven, CT, ","Match","Exact","14 Judwin Ave, NEW HAVEN, CT, 06515","-72.97891,41.32688",3697193,"L",9,9,141100,2001
"27010","10 JUDWIN AV, New Haven, CT, ","Match","Exact","10 Judwin Ave, NEW HAVEN, CT, 06515","-72.97904,41.32698",3697193,"L",9,9,141100,2001
"27011","35 COOPER PL, New Haven, CT, ","Match","Exact","35 Cooper Pl, NEW HAVEN, CT, 06515","-72.98028,41.328365",3697179,"R",9,9,141100,2004
"27012","145 COOPER PL, New Haven, CT, ","Match","Exact","145 Cooper Pl, NEW HAVEN, CT, 06515","-72.98173,41.328197",3697179,"R",9,9,141100,2004
"27013","150 LOWIN AV, New Haven, CT, ","Match","Exact","150 Lowin Ave, NEW HAVEN, CT, 06515","-72.979355,41.327354",3697202,"L",9,9,141100,2004
"27014","140 LOWIN AV, New Haven, CT, ","Match","Exact","140 Lowin Ave, NEW HAVEN, CT, 06515","-72.9793,41.32744",3697202,"L",9,9,141100,2004
"27015","130 LOWIN AV, New Haven, CT, ","Match","Exact","130 Lowin Ave, NEW HAVEN, CT, 06515","-72.97925,41.327526",3697202,"L",9,9,141100,2004
"27016","120 LOWIN AV, New Haven, CT, ","Match","Exact","120 Lowin Ave, NEW HAVEN, CT, 06515","-72.979195,41.32761",3697202,"L",9,9,141100,2004
"27017","110 LOWIN AV, New Haven, CT, ","Match","Exact","110 Lowin Ave, NEW HAVEN, CT, 06515","-72.97914,41.327698",3697202,"L",9,9,141100,2004
"27018","100 LOWIN AV, New Haven, CT, ","Match","Exact","100 Lowin Ave, NEW HAVEN, CT, 06515","-72.97909,41.32778",3697202,"L",9,9,141100,2004
"27019","90 LOWIN AV, New Haven, CT, ","Match","Exact","90 Lowin Ave, NEW HAVEN, CT, 06515","-72.979034,41.327866",3697202,"L",9,9,141100,2004
"27020","300 JUDWIN AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"27021","290 JUDWIN AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"27022","286 JUDWIN AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"27023","270 JUDWIN AV, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"27024","7 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27025","13 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27026","19 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27027","25 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27028","31 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27029","37 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27030","43 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27031","49 ENGLEWOOD DR, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"27032","120 LONG HILL TER, New Haven, CT, ","Match","Exact","120 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98443,41.329018",3697165,"L",9,9,141100,1004
"27033","110 LONG HILL TER, New Haven, CT, ","Match","Exact","110 Long Hill Ter, NEW HAVEN, CT, 06515","-72.984505,41.3289",3697165,"L",9,9,141100,1004
"27034","102 LONG HILL TER, New Haven, CT, ","Match","Exact","102 Long Hill Ter, NEW HAVEN, CT, 06515","-72.984566,41.328808",3697165,"L",9,9,141100,1004
"27035","96 LONG HILL TER, New Haven, CT, ","Match","Exact","96 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98461,41.328735",3697165,"L",9,9,141100,1004
"27036","90 LONG HILL TER, New Haven, CT, ","Match","Exact","90 Long Hill Ter, NEW HAVEN, CT, 06515","-72.984665,41.328663",3697165,"L",9,9,141100,1004
"27037","84 LONG HILL TER, New Haven, CT, ","Match","Exact","84 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98471,41.328594",3697165,"L",9,9,141100,1004
"27038","80 LONG HILL TER, New Haven, CT, ","Match","Exact","80 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98474,41.328545",3697165,"L",9,9,141100,1004
"27039","74 LONG HILL TER, New Haven, CT, ","Match","Exact","74 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98479,41.328476",3697165,"L",9,9,141100,1004
"27040","66 LONG HILL TER, New Haven, CT, ","Match","Exact","66 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98485,41.32838",3697165,"L",9,9,141100,1004
"27041","62 LONG HILL TER, New Haven, CT, ","Match","Exact","62 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98488,41.32833",3697165,"L",9,9,141100,1004
"27042","56 LONG HILL TER, New Haven, CT, ","Match","Exact","56 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98493,41.328262",3697165,"L",9,9,141100,1004
"27043","50 LONG HILL TER, New Haven, CT, ","Match","Exact","50 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98498,41.32819",3697165,"L",9,9,141100,1004
"27044","44 LONG HILL TER, New Haven, CT, ","Match","Exact","44 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98502,41.32812",3697165,"L",9,9,141100,1004
"27045","38 LONG HILL TER, New Haven, CT, ","Match","Exact","38 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98507,41.32805",3697165,"L",9,9,141100,1004
"27046","32 LONG HILL TER, New Haven, CT, ","Match","Exact","32 Long Hill Ter, NEW HAVEN, CT, 06515","-72.985115,41.327976",3697165,"L",9,9,141100,1004
"27047","26 LONG HILL TER, New Haven, CT, ","Match","Exact","26 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98517,41.327908",3697165,"L",9,9,141100,1004
"27048","20 LONG HILL TER, New Haven, CT, ","Match","Exact","20 Long Hill Ter, NEW HAVEN, CT, 06515","-72.985214,41.327835",3697165,"L",9,9,141100,1004
"27049","14 LONG HILL TER, New Haven, CT, ","Match","Exact","14 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98526,41.327766",3697165,"L",9,9,141100,1004
"27050","10 LONG HILL TER, New Haven, CT, ","Match","Exact","10 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98529,41.327717",3697165,"L",9,9,141100,1004
"27051","6 LONG HILL TER, New Haven, CT, ","Match","Exact","6 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98532,41.32767",3697165,"L",9,9,141100,1004
"27052","2 LONG HILL TER, New Haven, CT, ","Match","Exact","2 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98535,41.32762",3697165,"L",9,9,141100,1004
"27053","706 FOUNTAIN ST, New Haven, CT, ","Match","Exact","706 Fountain St, NEW HAVEN, CT, 06515","-72.98403,41.330147",3697164,"L",9,9,141100,1004
"27054","109 LONG HILL TER, New Haven, CT, ","Match","Exact","109 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98448,41.328876",3697165,"R",9,9,141100,1004
"27055","103 LONG HILL TER, New Haven, CT, ","Match","Exact","103 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98453,41.328804",3697165,"R",9,9,141100,1004
"27056","97 LONG HILL TER, New Haven, CT, ","Match","Exact","97 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98457,41.328735",3697165,"R",9,9,141100,1004
"27057","91 LONG HILL TER, New Haven, CT, ","Match","Exact","91 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98462,41.328667",3697165,"R",9,9,141100,1004
"27058","85 LONG HILL TER, New Haven, CT, ","Match","Exact","85 Long Hill Ter, NEW HAVEN, CT, 06515","-72.984665,41.328594",3697165,"R",9,9,141100,1004
"27059","79 LONG HILL TER, New Haven, CT, ","Match","Exact","79 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98471,41.328526",3697165,"R",9,9,141100,1004
"27060","75 LONG HILL TER, New Haven, CT, ","Match","Exact","75 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98475,41.328476",3697165,"R",9,9,141100,1004
"27061","67 LONG HILL TER, New Haven, CT, ","Match","Exact","67 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98481,41.328384",3697165,"R",9,9,141100,1004
"27062","61 LONG HILL TER, New Haven, CT, ","Match","Exact","61 Long Hill Ter, NEW HAVEN, CT, 06515","-72.984856,41.328312",3697165,"R",9,9,141100,1004
"27063","55 LONG HILL TER, New Haven, CT, ","Match","Exact","55 Long Hill Ter, NEW HAVEN, CT, 06515","-72.9849,41.328243",3697165,"R",9,9,141100,1004
"27064","49 LONG HILL TER, New Haven, CT, ","Match","Exact","49 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98495,41.328175",3697165,"R",9,9,141100,1004
"27065","45 LONG HILL TER, New Haven, CT, ","Match","Exact","45 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98498,41.328125",3697165,"R",9,9,141100,1004
"27066","37 LONG HILL TER, New Haven, CT, ","Match","Exact","37 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98504,41.328033",3697165,"R",9,9,141100,1004
"27067","33 LONG HILL TER, New Haven, CT, ","Match","Exact","33 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98507,41.327984",3697165,"R",9,9,141100,1004
"27068","25 LONG HILL TER, New Haven, CT, ","Match","Exact","25 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98514,41.327892",3697165,"R",9,9,141100,1004
"27069","21 LONG HILL TER, New Haven, CT, ","Match","Exact","21 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98517,41.327847",3697165,"R",9,9,141100,1004
"27070","15 LONG HILL TER, New Haven, CT, ","Match","Exact","15 Long Hill Ter, NEW HAVEN, CT, 06515","-72.985214,41.327774",3697165,"R",9,9,141100,1004
"27071","5 LONG HILL TER, New Haven, CT, ","Match","Exact","5 Long Hill Ter, NEW HAVEN, CT, 06515","-72.98529,41.32766",3697165,"R",9,9,141100,1004
