"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"20001","38 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20002","36 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20003","32 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20004","26 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20005","24 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20006","141 SYLVAN AV, New Haven, CT, ","Match","Exact","141 Sylvan Ave, NEW HAVEN, CT, 06519","-72.94457,41.30413",3700453,"R",9,9,140600,4002
"20007","31 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20008","33 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20009","39 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20010","45 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20011","53 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20012","55 AUBURN ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20013","422 LEGION AV, New Haven, CT, ","Match","Exact","422 Legion Ave, NEW HAVEN, CT, 06519","-72.945564,41.305927",3700350,"L",9,9,140600,4002
"20014","416 LEGION AV, New Haven, CT, ","Match","Exact","416 Legion Ave, NEW HAVEN, CT, 06519","-72.94547,41.305927",3700350,"L",9,9,140600,4002
"20015","408 LEGION AV, New Haven, CT, ","Match","Exact","408 Legion Ave, NEW HAVEN, CT, 06519","-72.94534,41.30593",3700350,"L",9,9,140600,4002
"20016","400 LEGION AV, New Haven, CT, ","Match","Exact","400 Legion Ave, NEW HAVEN, CT, 06519","-72.94521,41.305935",3700350,"L",9,9,140600,4002
"20017","392 LEGION AV, New Haven, CT, ","Match","Exact","392 Legion Ave, NEW HAVEN, CT, 06519","-72.94508,41.30594",3700350,"L",9,9,140600,4002
"20018","384 LEGION AV, New Haven, CT, ","Match","Exact","384 Legion Ave, NEW HAVEN, CT, 06519","-72.944954,41.30594",3700350,"L",9,9,140600,4002
"20019","54 GREENWOOD ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"20020","52 GREENWOOD ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
