"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"4001","95 LENOX ST #L, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4002","89 LENOX ST #M, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4003","89 LENOX ST #N, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4004","104 LEXINGTON AV, New Haven, CT, ","Match","Exact","104 Lexington Ave, NEW HAVEN, CT, 06513","-72.887375,41.30076",3737883,"L",9,9,142604,2009
"4005","LENOX ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"4006","75 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4007","71 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4008","65 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4009","59 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4010","LENOX ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"4011","49 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4012","43 LENOX ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"4013","15 LEXINGTON AV, New Haven, CT, ","Match","Exact","15 Lexington Ave, NEW HAVEN, CT, 06513","-72.88856,41.298397",3737883,"R",9,9,142604,1014
"4014","117 LEXINGTON AV, New Haven, CT, ","Match","Exact","117 Lexington Ave, NEW HAVEN, CT, 06513","-72.88723,41.300972",3737883,"R",9,9,142604,1014
"4015","121 LEXINGTON AV #1, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4016","121 LEXINGTON AV #3, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4017","121 LEXINGTON AV #5, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4018","121 LEXINGTON AV #7, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4019","121 LEXINGTON AV #2, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4020","121 LEXINGTON AV #4, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4021","121 LEXINGTON AV #6, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4022","121 LEXINGTON AV #8, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4023","121 LEXINGTON AV #10, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4024","121 LEXINGTON AV #12, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4025","121 LEXINGTON AV #14, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4026","121 LEXINGTON AV #16, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4027","121 LEXINGTON AV #18, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4028","121 LEXINGTON AV #20, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4029","121 LEXINGTON AV #9, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4030","121 LEXINGTON AV #11, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4031","121 LEXINGTON AV #13, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4032","121 LEXINGTON AV #15, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4033","121 LEXINGTON AV #17, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4034","121 LEXINGTON AV #19, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4035","121 LEXINGTON AV #21, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4036","121 LEXINGTON AV #23, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4037","121 LEXINGTON AV #22, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4038","121 LEXINGTON AV #24, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4039","121 LEXINGTON AV #26, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4040","121 LEXINGTON AV #28, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4041","121 LEXINGTON AV #25, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4042","121 LEXINGTON AV #27, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4043","121 LEXINGTON AV #29, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4044","121 LEXINGTON AV #31, New Haven, CT, ","Match","Exact","121 Lexington Ave, NEW HAVEN, CT, 06513","-72.88718,41.301075",3737883,"R",9,9,142604,1014
"4045","125 LEXINGTON AV, New Haven, CT, ","Match","Exact","125 Lexington Ave, NEW HAVEN, CT, 06513","-72.88712,41.301174",3737883,"R",9,9,142604,1014
"4046","127 LEXINGTON AV, New Haven, CT, ","Match","Exact","127 Lexington Ave, NEW HAVEN, CT, 06513","-72.88709,41.301228",3737883,"R",9,9,142604,1014
"4047","131 LEXINGTON AV, New Haven, CT, ","Match","Exact","131 Lexington Ave, NEW HAVEN, CT, 06513","-72.88705,41.301327",3737883,"R",9,9,142604,1014
"4048","135 LEXINGTON AV, New Haven, CT, ","Match","Exact","135 Lexington Ave, NEW HAVEN, CT, 06513","-72.88699,41.30143",3737883,"R",9,9,142604,1014
"4049","141 LEXINGTON AV, New Haven, CT, ","Match","Exact","141 Lexington Ave, NEW HAVEN, CT, 06513","-72.88691,41.301582",3737883,"R",9,9,142604,1014
"4050","37 REVERE ST, New Haven, CT, ","Match","Exact","37 Revere St, NEW HAVEN, CT, 06513","-72.88619,41.301838",3703992,"R",9,9,142604,1014
"4051","47 REVERE ST, New Haven, CT, ","Match","Exact","47 Revere St, NEW HAVEN, CT, 06513","-72.88606,41.301807",3703992,"R",9,9,142604,1014
"4052","57 REVERE ST, New Haven, CT, ","Match","Exact","57 Revere St, NEW HAVEN, CT, 06513","-72.88593,41.301777",3703992,"R",9,9,142604,1014
"4053","70 REVERE ST, New Haven, CT, ","Match","Exact","70 Revere St, NEW HAVEN, CT, 06513","-72.88574,41.30176",3703992,"L",9,9,142604,1014
"4054","62 REVERE ST, New Haven, CT, ","Match","Exact","62 Revere St, NEW HAVEN, CT, 06513","-72.88585,41.30179",3703992,"L",9,9,142604,1014
"4055","76 REVERE ST, New Haven, CT, ","Match","Exact","76 Revere St, NEW HAVEN, CT, 06513","-72.885666,41.301746",3703992,"L",9,9,142604,1014
"4056","61 REVERE ST, New Haven, CT, ","Match","Exact","61 Revere St, NEW HAVEN, CT, 06513","-72.88588,41.301765",3703992,"R",9,9,142604,1014
"4057","69 REVERE ST, New Haven, CT, ","Match","Exact","69 Revere St, NEW HAVEN, CT, 06513","-72.88577,41.301743",3703992,"R",9,9,142604,1014
"4058","84 RUSSELL ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
