"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"14001","191 MANSFIELD ST, New Haven, CT, ","Match","Exact","191 Mansfield St, NEW HAVEN, CT, 06511","-72.92592,41.320404",3699833,"R",9,9,361402,1001
"14002","197 MANSFIELD ST, New Haven, CT, ","Match","Exact","197 Mansfield St, NEW HAVEN, CT, 06511","-72.92591,41.320568",3699833,"R",9,9,361402,1001
"14003","203 MANSFIELD ST, New Haven, CT, ","Match","Exact","203 Mansfield St, NEW HAVEN, CT, 06511","-72.9259,41.320732",3699833,"R",9,9,361402,1001
"14004","211 MANSFIELD ST, New Haven, CT, ","Match","Exact","211 Mansfield St, NEW HAVEN, CT, 06511","-72.925896,41.320953",3699833,"R",9,9,361402,1001
"14005","217 MANSFIELD ST, New Haven, CT, ","Match","Exact","217 Mansfield St, NEW HAVEN, CT, 06511","-72.92589,41.321117",3699833,"R",9,9,361402,1001
"14006","56 HILLSIDE PL, New Haven, CT, ","Match","Exact","56 Hillside Pl, NEW HAVEN, CT, 06511","-72.92482,41.32105",604740776,"L",9,9,361402,1001
"14007","54 HILLSIDE PL, New Haven, CT, ","Match","Exact","54 Hillside Pl, NEW HAVEN, CT, 06511","-72.924774,41.32104",604740776,"L",9,9,361402,1001
"14008","52 HILLSIDE PL, New Haven, CT, ","Match","Exact","52 Hillside Pl, NEW HAVEN, CT, 06511","-72.92473,41.32103",604740776,"L",9,9,361402,1001
"14009","PROSPECT ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14010","314 PROSPECT ST, New Haven, CT, ","Match","Exact","314 Prospect St, NEW HAVEN, CT, 06511","-72.92332,41.320366",3699840,"L",9,9,361402,1001
"14011","MANSFIELD ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14012","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14013","310 PROSPECT ST, New Haven, CT, ","Match","Exact","310 Prospect St, NEW HAVEN, CT, 06511","-72.92332,41.320335",3699840,"L",9,9,361402,1001
"14014","300 PROSPECT ST, New Haven, CT, ","Match","Exact","300 Prospect St, NEW HAVEN, CT, 06511","-72.92333,41.32013",618696080,"L",9,9,361402,1001
"14015","282 PROSPECT ST, New Haven, CT, ","Match","Exact","282 Prospect St, NEW HAVEN, CT, 06511","-72.92344,41.319504",618696080,"L",9,9,361402,1001
"14016","276 PROSPECT ST, New Haven, CT, ","Match","Exact","276 Prospect St, NEW HAVEN, CT, 06511","-72.92349,41.3193",618696080,"L",9,9,361402,1001
"14017","MANSFIELD ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14018","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14019","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14020","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14021","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14022","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14023","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14024","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14025","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14026","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14027","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14028","313 MANSFIELD ST, New Haven, CT, ","Match","Exact","313 Mansfield St, NEW HAVEN, CT, 06511","-72.92507,41.324207",3699832,"R",9,9,141800,3004
"14029","426 PROSPECT ST, New Haven, CT, ","Match","Exact","426 Prospect St, NEW HAVEN, CT, 06511","-72.92336,41.323624",3755893,"L",9,9,141800,3004
"14030","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"14031","406 PROSPECT ST, New Haven, CT, ","Match","Exact","406 Prospect St, NEW HAVEN, CT, 06511","-72.92339,41.323162",604739016,"L",9,9,141800,3004
"14032","400 PROSPECT ST, New Haven, CT, ","Match","Exact","400 Prospect St, NEW HAVEN, CT, 06511","-72.9234,41.322933",604739016,"L",9,9,141800,3004
"14033","386 PROSPECT ST, New Haven, CT, ","Match","Exact","386 Prospect St, NEW HAVEN, CT, 06511","-72.92341,41.322395",604739016,"L",9,9,141800,3004
"14034","360 PROSPECT ST, New Haven, CT, ","Match","Exact","360 Prospect St, NEW HAVEN, CT, 06511","-72.92336,41.321297",604740779,"L",9,9,141800,3004
