"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"16001","30 MORRIS ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"16002","24 MORRIS ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"16003","22 MORRIS ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"16004","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16005","20 MORRIS ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"16006","ELLA T GRASSO BLVD, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16007","330 ELLA T GRASSO BLVD, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"16008","MORRIS ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16009","110 ROSETTE ST, New Haven, CT, ","Match","Exact","110 Rosette St, NEW HAVEN, CT, 06519","-72.935265,41.293026",3700608,"L",9,9,140500,2000
"16010","106 ROSETTE ST, New Haven, CT, ","Match","Exact","106 Rosette St, NEW HAVEN, CT, 06519","-72.93512,41.293045",3700608,"L",9,9,140500,2000
"16011","104 ROSETTE ST, New Haven, CT, ","Match","Exact","104 Rosette St, NEW HAVEN, CT, 06519","-72.93505,41.293056",3700608,"L",9,9,140500,2000
"16012","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16013","100 ROSETTE ST, New Haven, CT, ","Match","Exact","100 Rosette St, NEW HAVEN, CT, 06519","-72.93491,41.293076",3700608,"L",9,9,140500,2000
"16014","96 ROSETTE ST, New Haven, CT, ","Match","Exact","96 Rosette St, NEW HAVEN, CT, 06519","-72.93478,41.293095",3700608,"L",9,9,140500,2000
"16015","60 DEWITT ST, New Haven, CT, ","Match","Exact","60 Dewitt St, NEW HAVEN, CT, 06519","-72.9346,41.292812",3700609,"L",9,9,140500,2000
"16016","56 DEWITT ST, New Haven, CT, ","Match","Exact","56 Dewitt St, NEW HAVEN, CT, 06519","-72.93457,41.292725",3700609,"L",9,9,140500,2000
"16017","54 DEWITT ST, New Haven, CT, ","Match","Exact","54 Dewitt St, NEW HAVEN, CT, 06519","-72.93456,41.29268",3700609,"L",9,9,140500,2000
"16018","46 DEWITT ST, New Haven, CT, ","Match","Exact","46 Dewitt St, NEW HAVEN, CT, 06519","-72.93451,41.292496",3700609,"L",9,9,140500,2000
"16019","42 DEWITT ST, New Haven, CT, ","Match","Exact","42 Dewitt St, NEW HAVEN, CT, 06519","-72.93448,41.292408",3700609,"L",9,9,140500,2000
"16020","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16021","34 DEWITT ST, New Haven, CT, ","Match","Exact","34 Dewitt St, NEW HAVEN, CT, 06519","-72.93443,41.29223",3700609,"L",9,9,140500,2000
"16022","30 DEWITT ST, New Haven, CT, ","Match","Exact","30 Dewitt St, NEW HAVEN, CT, 06519","-72.9344,41.292137",3700609,"L",9,9,140500,2000
"16023","26 DEWITT ST, New Haven, CT, ","Match","Exact","26 Dewitt St, NEW HAVEN, CT, 06519","-72.93438,41.292046",3700609,"L",9,9,140500,2000
"16024","22 DEWITT ST, New Haven, CT, ","Match","Exact","22 Dewitt St, NEW HAVEN, CT, 06519","-72.93436,41.291958",3700609,"L",9,9,140500,2000
"16025","18 DEWITT ST, New Haven, CT, ","Match","Exact","18 Dewitt St, NEW HAVEN, CT, 06519","-72.934326,41.291866",3700609,"L",9,9,140500,2000
"16026","14 DEWITT ST, New Haven, CT, ","Match","Exact","14 Dewitt St, NEW HAVEN, CT, 06519","-72.9343,41.291775",3700609,"L",9,9,140500,2000
"16027","6 DEWITT ST, New Haven, CT, ","Match","Exact","6 Dewitt St, NEW HAVEN, CT, 06519","-72.93425,41.291595",3700609,"L",9,9,140500,2000
"16028","8 DEWITT ST, New Haven, CT, ","Match","Exact","8 Dewitt St, NEW HAVEN, CT, 06519","-72.934265,41.29164",3700609,"L",9,9,140500,2000
"16029","73 LAMBERTON ST, New Haven, CT, ","Match","Exact","73 Lamberton St, NEW HAVEN, CT, 06519","-72.934135,41.291096",3700901,"R",9,9,140400,1004
"16030","3 ARTHUR ST, New Haven, CT, ","Match","Exact","3 Arthur St, NEW HAVEN, CT, 06519","-72.93499,41.291126",3700603,"R",9,9,140500,2000
"16031","7 ARTHUR ST, New Haven, CT, ","Match","Exact","7 Arthur St, NEW HAVEN, CT, 06519","-72.93501,41.291203",3700603,"R",9,9,140500,2000
"16032","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16033","21 ARTHUR ST, New Haven, CT, ","Match","Exact","21 Arthur St, NEW HAVEN, CT, 06519","-72.93508,41.291462",3700603,"R",9,9,140500,2000
"16034","33 ARTHUR ST, New Haven, CT, ","Match","Exact","33 Arthur St, NEW HAVEN, CT, 06519","-72.93514,41.291683",3700603,"R",9,9,140500,2000
"16035","35 ARTHUR ST, New Haven, CT, ","Match","Exact","35 Arthur St, NEW HAVEN, CT, 06519","-72.93515,41.29172",3700603,"R",9,9,140500,2000
"16036","37 ARTHUR ST, New Haven, CT, ","Match","Exact","37 Arthur St, NEW HAVEN, CT, 06519","-72.93516,41.291756",3700603,"R",9,9,140500,2000
"16037","39 ARTHUR ST, New Haven, CT, ","Match","Exact","39 Arthur St, NEW HAVEN, CT, 06519","-72.93517,41.291794",3700603,"R",9,9,140500,2000
"16038","41 ARTHUR ST, New Haven, CT, ","Match","Exact","41 Arthur St, NEW HAVEN, CT, 06519","-72.93518,41.291832",3700603,"R",9,9,140500,2000
"16039","43 ARTHUR ST, New Haven, CT, ","Match","Exact","43 Arthur St, NEW HAVEN, CT, 06519","-72.93519,41.29187",3700603,"R",9,9,140500,2000
"16040","45 ARTHUR ST, New Haven, CT, ","Match","Exact","45 Arthur St, NEW HAVEN, CT, 06519","-72.9352,41.291904",3700603,"R",9,9,140500,2000
"16041","47 ARTHUR ST, New Haven, CT, ","Match","Exact","47 Arthur St, NEW HAVEN, CT, 06519","-72.93521,41.291943",3700603,"R",9,9,140500,2000
"16042","49 ARTHUR ST, New Haven, CT, ","Match","Exact","49 Arthur St, NEW HAVEN, CT, 06519","-72.93522,41.29198",3700603,"R",9,9,140500,2000
"16043","51 ARTHUR ST, New Haven, CT, ","Match","Exact","51 Arthur St, NEW HAVEN, CT, 06519","-72.93523,41.29202",3700603,"R",9,9,140500,2000
"16044","53 ARTHUR ST, New Haven, CT, ","Match","Exact","53 Arthur St, NEW HAVEN, CT, 06519","-72.93524,41.292053",3700603,"R",9,9,140500,2000
"16045","55 ARTHUR ST, New Haven, CT, ","Match","Exact","55 Arthur St, NEW HAVEN, CT, 06519","-72.93525,41.29209",3700603,"R",9,9,140500,2000
"16046","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"16047","140 ROSETTE ST, New Haven, CT, ","Match","Exact","140 Rosette St, NEW HAVEN, CT, 06519","-72.93639,41.29288",3700602,"L",9,9,140500,2001
"16048","136 ROSETTE ST, New Haven, CT, ","Match","Exact","136 Rosette St, NEW HAVEN, CT, 06519","-72.93624,41.2929",3700602,"L",9,9,140500,2001
"16049","130 ROSETTE ST, New Haven, CT, ","Match","Exact","130 Rosette St, NEW HAVEN, CT, 06519","-72.93602,41.292927",3700602,"L",9,9,140500,2001
"16050","126 ROSETTE ST, New Haven, CT, ","Match","Exact","126 Rosette St, NEW HAVEN, CT, 06519","-72.93587,41.292946",3700602,"L",9,9,140500,2001
"16051","124 ROSETTE ST, New Haven, CT, ","Match","Exact","124 Rosette St, NEW HAVEN, CT, 06519","-72.93579,41.292957",3700602,"L",9,9,140500,2001
"16052","122 ROSETTE ST, New Haven, CT, ","Match","Exact","122 Rosette St, NEW HAVEN, CT, 06519","-72.935715,41.292965",3700602,"L",9,9,140500,2001
"16053","120 ROSETTE ST, New Haven, CT, ","Match","Exact","120 Rosette St, NEW HAVEN, CT, 06519","-72.93564,41.292976",3700602,"L",9,9,140500,2001
"16054","58 ARTHUR ST, New Haven, CT, ","Match","Exact","58 Arthur St, NEW HAVEN, CT, 06519","-72.9353,41.292145",3700603,"L",9,9,140500,2001
"16055","56 ARTHUR ST, New Haven, CT, ","Match","Exact","56 Arthur St, NEW HAVEN, CT, 06519","-72.93529,41.292107",3700603,"L",9,9,140500,2001
"16056","54 ARTHUR ST, New Haven, CT, ","Match","Exact","54 Arthur St, NEW HAVEN, CT, 06519","-72.93528,41.29207",3700603,"L",9,9,140500,2001
"16057","52 ARTHUR ST, New Haven, CT, ","Match","Exact","52 Arthur St, NEW HAVEN, CT, 06519","-72.93527,41.29203",3700603,"L",9,9,140500,2001
"16058","50 ARTHUR ST, New Haven, CT, ","Match","Exact","50 Arthur St, NEW HAVEN, CT, 06519","-72.93526,41.291992",3700603,"L",9,9,140500,2001
"16059","46 ARTHUR ST, New Haven, CT, ","Match","Exact","46 Arthur St, NEW HAVEN, CT, 06519","-72.93524,41.291916",3700603,"L",9,9,140500,2001
"16060","44 ARTHUR ST, New Haven, CT, ","Match","Exact","44 Arthur St, NEW HAVEN, CT, 06519","-72.93523,41.291878",3700603,"L",9,9,140500,2001
"16061","40 ARTHUR ST, New Haven, CT, ","Match","Exact","40 Arthur St, NEW HAVEN, CT, 06519","-72.93521,41.291805",3700603,"L",9,9,140500,2001
"16062","24 ARTHUR ST, New Haven, CT, ","Match","Exact","24 Arthur St, NEW HAVEN, CT, 06519","-72.93513,41.2915",3700603,"L",9,9,140500,2001
"16063","22 ARTHUR ST, New Haven, CT, ","Match","Exact","22 Arthur St, NEW HAVEN, CT, 06519","-72.93512,41.291462",3700603,"L",9,9,140500,2001
