"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"15001","260 COLLEGE ST, New Haven, CT, ","Match","Exact","260 College St, NEW HAVEN, CT, 06510","-72.92916,41.306698",3701143,"L",9,9,140100,1016
"15002","COLLEGE ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15003","238 COLLEGE ST #2, New Haven, CT, ","Match","Exact","238 College St, NEW HAVEN, CT, 06510","-72.929375,41.30639",3701143,"L",9,9,140100,1016
"15004","238 COLLEGE ST #1, New Haven, CT, ","Match","Exact","238 College St, NEW HAVEN, CT, 06510","-72.929375,41.30639",3701143,"L",9,9,140100,1016
"15005","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15006","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15007","234 COLLEGE ST, New Haven, CT, ","Match","Exact","234 College St, NEW HAVEN, CT, 06510","-72.92941,41.306335",3701143,"L",9,9,140100,1016
"15008","CROWN ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15009","220 COLLEGE ST, New Haven, CT, ","Match","Exact","220 College St, NEW HAVEN, CT, 06510","-72.92955,41.306137",3701143,"L",9,9,140100,1016
"15010","255 CROWN ST, New Haven, CT, ","Match","Exact","255 Crown St, NEW HAVEN, CT, 06510","-72.93012,41.306202",3701128,"R",9,9,140100,1016
"15011","261 CROWN ST, New Haven, CT, ","Match","Exact","261 Crown St, NEW HAVEN, CT, 06510","-72.930305,41.30628",3701128,"R",9,9,140100,1016
"15012","265 CROWN ST, New Haven, CT, ","Match","Exact","265 Crown St, NEW HAVEN, CT, 06510","-72.93042,41.306328",3701128,"R",9,9,140100,1016
"15013","271 CROWN ST, New Haven, CT, ","Match","Exact","271 Crown St, NEW HAVEN, CT, 06510","-72.9306,41.3064",3701128,"R",9,9,140100,1016
"15014","277 CROWN ST, New Haven, CT, ","Match","Exact","277 Crown St, NEW HAVEN, CT, 06510","-72.93078,41.306477",3701128,"R",9,9,140100,1016
"15015","279 CROWN ST, New Haven, CT, ","Match","Exact","279 Crown St, NEW HAVEN, CT, 06510","-72.93084,41.3065",3701128,"R",9,9,140100,1016
"15016","281 CROWN ST, New Haven, CT, ","Match","Exact","281 Crown St, NEW HAVEN, CT, 06510","-72.9309,41.306526",3701128,"R",9,9,140100,1016
"15017","1073 CHAPEL ST, New Haven, CT, ","Match","Exact","1073 Chapel St, NEW HAVEN, CT, 06510","-72.93038,41.307957",633047431,"R",9,9,361401,1003
"15018","197 YORK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15019","201 YORK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15020","64 HIGH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15021","60 HIGH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15022","HIGH ST, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15023","1021 CHAPEL ST, New Haven, CT, ","Match","Exact","1021 Chapel St, NEW HAVEN, CT, 06511","-72.929214,41.3075",3701140,"R",9,9,361401,1002
"15024","61 HIGH ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15025","214 ELM ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15026","200 ELM ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15027","330 COLLEGE ST, New Haven, CT, ","Match","Exact","330 College St, NEW HAVEN, CT, 06510","-72.92758,41.308784",3701184,"L",9,9,361401,1002
"15028","NA, New Haven, CT, ","No_Match","","","",NA,"",NA,NA,NA,NA
"15029","60 YORK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15030","390 GEORGE ST, New Haven, CT, ","Match","Exact","390 George St, NEW HAVEN, CT, 06511","-72.93421,41.30666",611225871,"L",9,9,361401,2003
"15031","82 YORK ST, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15032","335 NORTH FRONTAGE RD, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"15033","300 GEORGE ST, New Haven, CT, ","Match","Exact","300 George St, NEW HAVEN, CT, 06511","-72.9311,41.30535",3701126,"L",9,9,140100,1023
