"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"21001","90 DORMAN ST, New Haven, CT, ","Match","Exact","90 Dorman St, NEW HAVEN, CT, 06511","-72.93813,41.333527",3699019,"L",9,9,141500,2005
"21002","86 DORMAN ST, New Haven, CT, ","Match","Exact","86 Dorman St, NEW HAVEN, CT, 06511","-72.9381,41.333527",3699019,"L",9,9,141500,2005
"21003","82 DORMAN ST, New Haven, CT, ","Match","Exact","82 Dorman St, NEW HAVEN, CT, 06511","-72.938065,41.333527",3699019,"L",9,9,141500,2005
"21004","76 DORMAN ST, New Haven, CT, ","Match","Exact","76 Dorman St, NEW HAVEN, CT, 06511","-72.93801,41.333527",3699019,"L",9,9,141500,2005
"21005","70 DORMAN ST, New Haven, CT, ","Match","Exact","70 Dorman St, NEW HAVEN, CT, 06511","-72.93796,41.333523",3699019,"L",9,9,141500,2005
"21006","311 BASSETT ST, New Haven, CT, ","Match","Exact","311 Bassett St, NEW HAVEN, CT, 06511","-72.93806,41.332676",3699016,"R",9,9,141500,2005
"21007","317 BASSETT ST, New Haven, CT, ","Match","Exact","317 Bassett St, NEW HAVEN, CT, 06511","-72.93813,41.33268",3699016,"R",9,9,141500,2005
"21008","323 BASSETT ST, New Haven, CT, ","Match","Exact","323 Bassett St, NEW HAVEN, CT, 06511","-72.9382,41.33268",3699016,"R",9,9,141500,2005
"21009","327 BASSETT ST, New Haven, CT, ","Match","Exact","327 Bassett St, NEW HAVEN, CT, 06511","-72.93825,41.332684",3699016,"R",9,9,141500,2005
"21010","331 BASSETT ST, New Haven, CT, ","Match","Exact","331 Bassett St, NEW HAVEN, CT, 06511","-72.9383,41.332684",3699016,"R",9,9,141500,2005
"21011","867 SHERMAN AV, New Haven, CT, ","Tie","","","",NA,"",NA,NA,NA,NA
"21012","62 DORMAN ST, New Haven, CT, ","Match","Exact","62 Dorman St, NEW HAVEN, CT, 06511","-72.937584,41.333515",3699021,"L",9,9,141500,2006
"21013","58 DORMAN ST, New Haven, CT, ","Match","Exact","58 Dorman St, NEW HAVEN, CT, 06511","-72.93743,41.33351",3699021,"L",9,9,141500,2006
"21014","56 DORMAN ST, New Haven, CT, ","Match","Exact","56 Dorman St, NEW HAVEN, CT, 06511","-72.937355,41.333508",3699021,"L",9,9,141500,2006
"21015","50 DORMAN ST, New Haven, CT, ","Match","Exact","50 Dorman St, NEW HAVEN, CT, 06511","-72.937126,41.333504",3699021,"L",9,9,141500,2006
"21016","46 DORMAN ST, New Haven, CT, ","Match","Exact","46 Dorman St, NEW HAVEN, CT, 06511","-72.93697,41.3335",3699021,"L",9,9,141500,2006
"21017","42 DORMAN ST, New Haven, CT, ","Match","Exact","42 Dorman St, NEW HAVEN, CT, 06511","-72.93682,41.333496",3699021,"L",9,9,141500,2006
"21018","38 DORMAN ST, New Haven, CT, ","Match","Exact","38 Dorman St, NEW HAVEN, CT, 06511","-72.93667,41.333492",3699021,"L",9,9,141500,2006
"21019","28 DORMAN ST, New Haven, CT, ","Match","Exact","28 Dorman St, NEW HAVEN, CT, 06511","-72.93629,41.333485",3699021,"L",9,9,141500,2006
"21020","26 DORMAN ST, New Haven, CT, ","Match","Exact","26 Dorman St, NEW HAVEN, CT, 06511","-72.9362,41.33348",3699021,"L",9,9,141500,2006
"21021","24 DORMAN ST, New Haven, CT, ","Match","Exact","24 Dorman St, NEW HAVEN, CT, 06511","-72.93613,41.33348",3699021,"L",9,9,141500,2006
"21022","20 DORMAN ST, New Haven, CT, ","Match","Exact","20 Dorman St, NEW HAVEN, CT, 06511","-72.935974,41.333477",3699021,"L",9,9,141500,2006
"21023","16 DORMAN ST, New Haven, CT, ","Match","Exact","16 Dorman St, NEW HAVEN, CT, 06511","-72.93582,41.333473",3699021,"L",9,9,141500,2006
"21024","736 DIXWELL AV, New Haven, CT, ","Match","Exact","736 Dixwell Ave, NEW HAVEN, CT, 06511","-72.93517,41.333645",3699052,"L",9,9,141500,2003
"21025","734 DIXWELL AV, New Haven, CT, ","Match","Exact","734 Dixwell Ave, NEW HAVEN, CT, 06511","-72.93517,41.333614",3699052,"L",9,9,141500,2003
"21026","716 DIXWELL AV, New Haven, CT, ","Match","Exact","716 Dixwell Ave, NEW HAVEN, CT, 06511","-72.93518,41.33288",3699053,"L",9,9,141500,2006
"21027","714 DIXWELL AV, New Haven, CT, ","Match","Exact","714 Dixwell Ave, NEW HAVEN, CT, 06511","-72.93519,41.332767",3699053,"L",9,9,141500,2006
"21028","255 BASSETT ST, New Haven, CT, ","Match","Exact","255 Bassett St, NEW HAVEN, CT, 06511","-72.9359,41.332558",3699023,"R",9,9,141500,2006
"21029","257 BASSETT ST, New Haven, CT, ","Match","Exact","257 Bassett St, NEW HAVEN, CT, 06511","-72.93598,41.33256",3699023,"R",9,9,141500,2006
